Name,0
Farms,Accommodation
"Forestry, fishing, and related activities",Educational services
Oil and gas extraction,"Miscellaneous professional, scientific, and technical services"
"Mining, except oil and gas",Waste management and remediation services
Support activities for mining,"Miscellaneous professional, scientific, and technical services"
Utilities,"Funds, trusts, and other financial vehicles"
Construction,Machinery
Wood products,Utilities
Nonmetallic mineral products,Social assistance
Primary metals,Construction
Fabricated metal products,Management of companies and enterprises
Machinery,Transit and ground passenger transportation
Computer and electronic products,Motion picture and sound recording industries
"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts"
"Motor vehicles, bodies and trailers, and parts",Textile mills and textile product mills
Other transportation equipment,Federal general government (nondefense)
Furniture and related products,Housing
Miscellaneous manufacturing,State and local government enterprises
Food and beverage and tobacco products,Federal government enterprises
Textile mills and textile product mills,Machinery
Apparel and leather and allied products,Wholesale trade
Paper products,"Federal Reserve banks, credit intermediation, and related activities"
Printing and related support activities,Transit and ground passenger transportation
Petroleum and coal products,Accommodation
Chemical products,Broadcasting and telecommunications
Plastics and rubber products,Other retail
Wholesale trade,Administrative and support services
Motor vehicle and parts dealers,Farms
Food and beverage stores,Farms
General merchandise stores,Farms
Other retail,General merchandise stores
Air transportation,Other real estate
Rail transportation,"Miscellaneous professional, scientific, and technical services"
Water transportation,Construction
Truck transportation,Other retail
Transit and ground passenger transportation,Primary metals
Pipeline transportation,Oil and gas extraction
Other transportation and support activities,Wholesale trade
Warehousing and storage,Other transportation equipment
"Publishing industries, except internet (includes software)",Rental and leasing services and lessors of intangible assets
Motion picture and sound recording industries,"Amusements, gambling, and recreation industries"
Broadcasting and telecommunications,Other retail
"Data processing, internet publishing, and other information services","Other services, except government"
"Federal Reserve banks, credit intermediation, and related activities",Waste management and remediation services
"Securities, commodity contracts, and investments","Federal Reserve banks, credit intermediation, and related activities"
Insurance carriers and related activities,Plastics and rubber products
"Funds, trusts, and other financial vehicles",Management of companies and enterprises
Housing,Farms
Other real estate,Other transportation and support activities
Rental and leasing services and lessors of intangible assets,"Motor vehicles, bodies and trailers, and parts"
Legal services,Social assistance
Computer systems design and related services,Oil and gas extraction
"Miscellaneous professional, scientific, and technical services",State and local general government
Management of companies and enterprises,"Motor vehicles, bodies and trailers, and parts"
Administrative and support services,Rail transportation
Waste management and remediation services,"Data processing, internet publishing, and other information services"
Educational services,Broadcasting and telecommunications
Ambulatory health care services,Nursing and residential care facilities
Hospitals,Hospitals
Nursing and residential care facilities,Federal general government (nondefense)
Social assistance,State and local general government
"Performing arts, spectator sports, museums, and related activities",Warehousing and storage
"Amusements, gambling, and recreation industries",Housing
Accommodation,Management of companies and enterprises
Food services and drinking places,Computer systems design and related services
"Other services, except government","Motor vehicles, bodies and trailers, and parts"
Federal general government (defense),Farms
Federal general government (nondefense),Farms
Federal government enterprises,Pipeline transportation
State and local general government,Farms
State and local government enterprises,Chemical products
"Scrap, used and secondhand goods","Amusements, gambling, and recreation industries"
Noncomparable imports and rest-of-the-world adjustment,Federal general government (defense)
Total Intermediate,"Funds, trusts, and other financial vehicles"
Compensation of employees,Utilities
Other taxes on production,Ambulatory health care services
Less: Other subsidies on production,Support activities for mining
Gross operating surplus,Nursing and residential care facilities
Value Added (basic prices),Motion picture and sound recording industries
Total industry output (basic prices),Chemical products
Taxes on products and imports,Rail transportation
Less: Subsidies on products,Water transportation
Value Added (producer prices),Primary metals
